,Unnamed: 0,id,path_from_root,path_from_root_id,name,total_items_in_this_category
2264,2264,MLC174118,"['Bebés', 'Chupetes y Mordedores', 'Chupetes']","['MLC1384', 'MLC418396', 'MLC174118']",Chupetes,2794
2265,2265,MLC418710,"['Bebés', 'Chupetes y Mordedores', 'Chupetes para Comer']","['MLC1384', 'MLC418396', 'MLC418710']",Chupetes para Comer,602
2266,2266,MLC72173,"['Bebés', 'Chupetes y Mordedores', 'Esterilizadores de Chupetes']","['MLC1384', 'MLC418396', 'MLC72173']",Esterilizadores de Chupetes,93
2267,2267,MLC418450,"['Bebés', 'Chupetes y Mordedores', 'Mordedores']","['MLC1384', 'MLC418396', 'MLC418450']",Mordedores,3832
2268,2268,MLC179015,"['Bebés', 'Chupetes y Mordedores', 'Portachupetes']","['MLC1384', 'MLC418396', 'MLC179015']",Portachupetes,579
2269,2269,MLC418398,"['Bebés', 'Chupetes y Mordedores', 'Prendedores para Chupetes']","['MLC1384', 'MLC418396', 'MLC418398']",Prendedores para Chupetes,2731
2270,2270,MLC418397,"['Bebés', 'Chupetes y Mordedores', 'Otros']","['MLC1384', 'MLC418396', 'MLC418397']",Otros,26
2271,2271,MLC418437,"['Bebés', 'Comida para Bebés', 'Cereales para Bebés']","['MLC1384', 'MLC418436', 'MLC418437']",Cereales para Bebés,9
2272,2272,MLC418440,"['Bebés', 'Comida para Bebés', 'Galletas para Bebés']","['MLC1384', 'MLC418436', 'MLC418440']",Galletas para Bebés,6
2273,2273,MLC39965,"['Bebés', 'Comida para Bebés', 'Leche Maternizada']","['MLC1384', 'MLC418436', 'MLC39965']",Leche Maternizada,633
2274,2274,MLC418438,"['Bebés', 'Comida para Bebés', 'Papilla']","['MLC1384', 'MLC418436', 'MLC418438']",Papilla,138
2275,2275,MLC418441,"['Bebés', 'Comida para Bebés', 'Otros']","['MLC1384', 'MLC418436', 'MLC418441']",Otros,19
2276,2276,MLC418621,"['Bebés', 'Corrales']","['MLC1384', 'MLC418621']",Corrales,278
2277,2277,MLC418640,"['Bebés', 'Dormitorio del Bebé', 'Almohadas para Bebés']","['MLC1384', 'MLC5362', 'MLC418640']",Almohadas para Bebés,3781
2278,2278,MLC418642,"['Bebés', 'Dormitorio del Bebé', 'Cambiadores Rígidos']","['MLC1384', 'MLC5362', 'MLC418642']",Cambiadores Rígidos,164
2279,2279,MLC418639,"['Bebés', 'Dormitorio del Bebé', 'Carteles de Nacimiento']","['MLC1384', 'MLC5362', 'MLC418639']",Carteles de Nacimiento,1309
2280,2280,MLC174122,"['Bebés', 'Dormitorio del Bebé', 'Colchones para Cuna']","['MLC1384', 'MLC5362', 'MLC174122']",Colchones para Cuna,260
2281,2281,MLC5369,"['Bebés', 'Dormitorio del Bebé', 'Cunas y Moisés', 'Cunas Corral']","['MLC1384', 'MLC5362', 'MLC418622', 'MLC5369']",Cunas Corral,510
2282,2282,MLC40419,"['Bebés', 'Dormitorio del Bebé', 'Cunas y Moisés', 'Cunas de Madera']","['MLC1384', 'MLC5362', 'MLC418622', 'MLC40419']",Cunas de Madera,647
2283,2283,MLC432282,"['Bebés', 'Dormitorio del Bebé', 'Cunas y Moisés', 'Cunas Portátiles Mosquiteras']","['MLC1384', 'MLC5362', 'MLC418622', 'MLC432282']",Cunas Portátiles Mosquiteras,81
2284,2284,MLC40557,"['Bebés', 'Dormitorio del Bebé', 'Cunas y Moisés', 'Moisés']","['MLC1384', 'MLC5362', 'MLC418622', 'MLC40557']",Moisés,325
2285,2285,MLC439868,"['Bebés', 'Dormitorio del Bebé', 'Cunas y Moisés', 'Practicunas']","['MLC1384', 'MLC5362', 'MLC418622', 'MLC439868']",Practicunas,147
2286,2286,MLC439867,"['Bebés', 'Dormitorio del Bebé', 'Cunas y Moisés', 'Otros']","['MLC1384', 'MLC5362', 'MLC418622', 'MLC439867']",Otros,51
2287,2287,MLC418645,"['Bebés', 'Dormitorio del Bebé', 'Juego de Cuarto para Bebe']","['MLC1384', 'MLC5362', 'MLC418645']",Juego de Cuarto para Bebe,1229
2288,2288,MLC418647,"['Bebés', 'Dormitorio del Bebé', 'Mantas de Apego']","['MLC1384', 'MLC5362', 'MLC418647']",Mantas de Apego,2485
2289,2289,MLC418641,"['Bebés', 'Dormitorio del Bebé', 'Nido Colecho']","['MLC1384', 'MLC5362', 'MLC418641']",Nido Colecho,457
2290,2290,MLC418646,"['Bebés', 'Dormitorio del Bebé', 'Organizadores de Juguetes']","['MLC1384', 'MLC5362', 'MLC418646']",Organizadores de Juguetes,802
2291,2291,MLC418643,"['Bebés', 'Dormitorio del Bebé', 'Organizadores de Pañales']","['MLC1384', 'MLC5362', 'MLC418643']",Organizadores de Pañales,2572
2292,2292,MLC417043,"['Bebés', 'Dormitorio del Bebé', 'Portadientes de Leche']","['MLC1384', 'MLC5362', 'MLC417043']",Portadientes de Leche,273
2293,2293,MLC419445,"['Bebés', 'Dormitorio del Bebé', 'Ropa y Protectores para Cuna', 'Conjuntos de Cuna']","['MLC1384', 'MLC5362', 'MLC82314', 'MLC419445']",Conjuntos de Cuna,542
2294,2294,MLC418623,"['Bebés', 'Dormitorio del Bebé', 'Ropa y Protectores para Cuna', 'Frazadas']","['MLC1384', 'MLC5362', 'MLC82314', 'MLC418623']",Frazadas,9843
2295,2295,MLC82315,"['Bebés', 'Dormitorio del Bebé', 'Ropa y Protectores para Cuna', 'Plumones']","['MLC1384', 'MLC5362', 'MLC82314', 'MLC82315']",Plumones,391
2296,2296,MLC419446,"['Bebés', 'Dormitorio del Bebé', 'Ropa y Protectores para Cuna', 'Protectores de Cuna']","['MLC1384', 'MLC5362', 'MLC82314', 'MLC419446']",Protectores de Cuna,519
2297,2297,MLC82322,"['Bebés', 'Dormitorio del Bebé', 'Ropa y Protectores para Cuna', 'Sábanas']","['MLC1384', 'MLC5362', 'MLC82314', 'MLC82322']",Sábanas,1082
2298,2298,MLC82321,"['Bebés', 'Dormitorio del Bebé', 'Ropa y Protectores para Cuna', 'Otros']","['MLC1384', 'MLC5362', 'MLC82314', 'MLC82321']",Otros,302
2299,2299,MLC82876,"['Bebés', 'Dormitorio del Bebé', 'Otros']","['MLC1384', 'MLC5362', 'MLC82876']",Otros,1289
2300,2300,MLC418405,"['Bebés', 'Higiene y Cuidado del Bebé', 'Cepillos y Peines']","['MLC1384', 'MLC418401', 'MLC418405']",Cepillos y Peines,1982
2301,2301,MLC418406,"['Bebés', 'Higiene y Cuidado del Bebé', 'Colonias para Bebés']","['MLC1384', 'MLC418401', 'MLC418406']",Colonias para Bebés,222
2302,2302,MLC418673,"['Bebés', 'Higiene y Cuidado del Bebé', 'Cremas, Pomadas y Aceites']","['MLC1384', 'MLC418401', 'MLC418673']","Cremas, Pomadas y Aceites",405
2303,2303,MLC418407,"['Bebés', 'Higiene y Cuidado del Bebé', 'Esponjas']","['MLC1384', 'MLC418401', 'MLC418407']",Esponjas,413
2304,2304,MLC455876,"['Bebés', 'Higiene y Cuidado del Bebé', 'Jabones', 'En Barra']","['MLC1384', 'MLC418401', 'MLC455874', 'MLC455876']",En Barra,27
2305,2305,MLC455875,"['Bebés', 'Higiene y Cuidado del Bebé', 'Jabones', 'Líquido']","['MLC1384', 'MLC418401', 'MLC455874', 'MLC455875']",Líquido,39
2306,2306,MLC418771,"['Bebés', 'Higiene y Cuidado del Bebé', 'Kits de Cuidado para Bebés']","['MLC1384', 'MLC418401', 'MLC418771']",Kits de Cuidado para Bebés,5219
2307,2307,MLC179014,"['Bebés', 'Higiene y Cuidado del Bebé', 'Pañales', 'Descartables']","['MLC1384', 'MLC418401', 'MLC440833', 'MLC179014']",Descartables,2699
2308,2308,MLC440834,"['Bebés', 'Higiene y Cuidado del Bebé', 'Pañales', 'Reutilizables']","['MLC1384', 'MLC418401', 'MLC440833', 'MLC440834']",Reutilizables,3504
2309,2309,MLC440835,"['Bebés', 'Higiene y Cuidado del Bebé', 'Pañales', 'Otros']","['MLC1384', 'MLC418401', 'MLC440833', 'MLC440835']",Otros,6
2310,2310,MLC418409,"['Bebés', 'Higiene y Cuidado del Bebé', 'Paños de Algodón']","['MLC1384', 'MLC418401', 'MLC418409']",Paños de Algodón,728
2311,2311,MLC418404,"['Bebés', 'Higiene y Cuidado del Bebé', 'Shampoos y Acondicionadores']","['MLC1384', 'MLC418401', 'MLC418404']",Shampoos y Acondicionadores,250
2312,2312,MLC455894,"['Bebés', 'Higiene y Cuidado del Bebé', 'Talcos para Bebés']","['MLC1384', 'MLC418401', 'MLC455894']",Talcos para Bebés,7
