meli_seller_id,skus_with_orders
9047308,1
9047799,65
9048842,2
9055028,8
9059589,221
9065306,1
9066042,17
9068883,2
9086585,15
9094112,1
9108788,1
9145755,1
9152340,1
9190657,1
9196009,2
9270368,6
9275704,3
9319489,1
9328001,1
9328261,1
9354721,10
9405244,1
9448716,1
9461267,2
9477981,9
9480010,1
9517702,7
9582340,1
9599758,50
9690677,1
9710633,1
9742106,1
9746667,1
9762315,10
9764930,1055
9793597,526
9797766,9
9831423,28
9848195,39
9849498,38
9849765,2
9858112,2
9860952,34
9878862,3
9882358,1
9892487,2
9896314,11
9909320,1
9956881,1
10059655,3
10121474,1
10189181,8
10193056,1
10228697,5
10242748,1
10252283,1
10252347,1
10253392,9
10258103,1
10267316,2
10271994,10
10276764,4
10277436,1
10330463,2
10339651,1
10386575,2
10390315,16
10406108,1
10437880,6
10448461,1
10452066,3
10522079,2
10545222,5
10608414,1
10643118,1
10718314,1
10720348,53
10723478,1
10737433,121
10745160,2
10762596,11
10869287,3
10897024,2
10932107,1
10936121,1
10939136,8
10951034,2
11003237,2
11038108,1
11061068,1
11141422,34
11174896,733
11191454,6
11192166,3
11192982,63
11197531,1
11284176,6
11294623,11
11314202,1
11372104,1
11384753,1
11404272,15
11431508,1
11466031,14
11475314,1
11484249,50
11488061,1
11506235,1
11544138,49
11569772,22
11587860,2
11612903,4
11634037,5
11651594,19
11657117,1
11666532,2
11668071,22
11678725,1
11683635,2
11703327,3
11784294,2
11793977,1
11910976,18
11930975,3
12041329,4
12073787,205
12075628,1
12107109,117
12137625,1
12187144,3
12211973,4
12241009,2
12247610,7
12294989,2
12299028,1
12301668,18
12327141,11
12331410,1
12341781,4617
12344122,1
12345778,2
12385352,82
12420633,2
12435874,1
12462183,79
12479091,2
12494951,44
12519165,1
12540559,1
12567537,1
12589541,1
12599836,1
12615160,56
12620271,10
12629467,1
12638559,9
12646990,5
12649628,5
12655226,1
12661993,4
12678392,1
12733013,1
12747831,5
12763751,372
12786805,45
12796207,4
12868351,39
12887853,1
12914925,1
12919348,1
12923746,5
12932917,1
12955138,30
12964127,1
12985190,1
13005543,5
13022513,3
13075176,10
13086078,2
13116442,15
13119628,1
13167809,1
13189786,4
13212858,4
13229239,7
13232010,1
13238403,1
13241539,3
13250285,1
13252219,77
13252374,11
13261872,7
13274034,1
13280671,4
13288288,1
13296834,1
13302534,1
13308388,26
13332352,1
13337138,101
13343346,29
13345943,11
13346390,1
13366660,27
13386034,5
13393703,1
13444026,8
13482921,4
13494931,4
13509982,1
13530059,1
13548532,3
13563154,1
13565191,1
13598997,1
13603589,24
13607852,1
13608619,1
13618764,1
13637570,6
13646648,1
13649981,17
13686218,4
13689546,10
13700548,1
13719391,1
13725168,59
13732903,1
13778412,7
13784766,2
13820214,1
13841564,1
13847904,165
13865905,13
13876101,19
13914969,11
13924236,6
13951540,3
13958223,7
13971887,1
13990792,3
13996327,6
14433253,7
14459788,3
14481116,1
14489991,78
14494403,7
14500501,1
14510865,26
14523950,9
14537957,334
14538202,1
14544345,4
14557238,7
14634910,1
14655171,2
14656415,1
14699789,1
14707533,1
14708119,26
14711114,50
14748847,37
14782870,6
14808168,1
14886518,9
14887590,2
15012827,1
15044950,5
15078170,1
15092345,4
15093419,1
15101861,2
15123344,1
15157271,2
15171878,5
15177108,420
15179431,1
15181892,2
15184998,1
15193281,13
15200580,31
15218714,1
15269778,1
15271117,22
15271611,2
15285518,5
15297254,13
15298767,1
15317711,1
15336147,1
15348156,1
15412285,9
15426522,1
15444472,6
15446344,1
15448868,1
15466560,18
15474839,2
15480102,1
15530761,1
15569056,1
15599528,4
15602894,12
15616348,7
15659915,22
15662414,1
15672493,1
15699850,2
15720789,2
15731699,1
15735217,1
15769034,3
15780589,2
15813735,1
15814065,2
15817623,7
15911880,3
15912118,15
15948935,48
15971526,1
15997773,2
16000042,1
16002094,2
16044408,2
16057373,9
16063366,30
16076025,3
16085074,1
16088369,620
16113230,94
16123596,9
16124251,9
16131414,2
16148735,1
16149854,1
16261638,32
16267868,4
16281971,1
16290442,7
16309165,41
16334919,1
16347722,13
16352714,3
16387408,5
16392837,27
16411711,14
16425325,378
16455726,40
16472148,34
16480586,5
16488095,224
16522007,538
16538796,12
16559386,1
16566819,1
16604933,188
16609537,778
16622039,1
16699415,1
16731403,16
16752998,1
16798045,3
16882493,21
16887007,18
16930350,2
16932779,1
16947611,2
16956919,1
16979524,1
16999487,3
17045085,1
17050975,3
17070558,25
17105498,7
17111137,1
17166949,1
17191271,5
17206811,5
17208884,3
17225707,5
17245786,1
17246348,1
17248055,1
17259792,2
17264129,3
17272136,1
17289129,1
17295953,14
17299941,329
17328748,1
17348221,10
17355620,19
17366448,1
17367061,2
17369309,1
17391926,1
17424695,259
17499050,1
17505425,1
17524158,20
17524846,1
17528158,1
17547847,14
17559125,1
17564538,1
17581844,19
17604471,1
17608853,1
17619339,11
17649235,3
17669617,2
17688900,62
17689869,2
17708457,1
17734537,1
17739444,3
17749470,5
17775254,272
17810399,2
17832552,3
17842324,14
17843370,1
17889716,22
17928119,3
17959969,3
17968110,8
17985550,9
17990210,3
18010089,4
18019151,1
18019475,3
18021744,2
18040411,1
18048961,5
18057447,19
18085448,2
18108740,1
18118590,21
18135330,27
18162864,13
18236129,160
18247436,2
18249508,1
18255845,1049
18258096,28
18277038,1
18284907,2
18292045,2
18313757,4
18340524,3
18355252,1
18357790,1
18407064,1
18414860,46
18422236,3
18435734,2
18436285,9
18444044,1
18447705,8
18448646,3
18451320,21
18470572,2
18490647,2
18505197,14
18516050,1
18542785,1
18563700,1
18566308,1
18589377,168
18592125,11
18592499,3
18594707,4
18596007,1
18633304,1
18654290,3
18659139,21
18672442,162
18682795,1
18686791,4
18701401,1
18702080,3
18709766,2
18709862,1
18733672,1
18734417,1
18780417,3
18791351,9
18817503,1
18831883,1
18852213,2
18860804,2
18892225,23
18892316,1
18892762,1
18931960,8
18936337,1
18974320,1
18982595,2
18987166,1
18990181,10
18998893,1
19000356,75
19007384,43
19020028,10
19056968,2
19057185,78
19064245,1
19065254,9
19077118,6
19088051,24
19103330,1
19155481,5
19164660,1
19165892,1
19169740,6
19208156,1
19208358,1
19219507,10
19230374,1
19236295,5
19242872,1
19294974,2
19295029,6
19300958,3
19313060,3
19317267,4
19342648,14
19345032,2
19369223,2
19376529,2
19377814,21
19393297,1
19401774,1
19403858,1
19419064,2
19423436,12
19430887,11
19454543,15
19460217,1
19462930,1
19466317,2
19468038,1
19494000,1
19499879,52
19504813,4
19509007,1
19513550,321
19563763,6
19585431,1
19594410,7
19655418,8
19685117,15
19689842,169
19727205,1
19748371,3
19754883,1
19784755,1
19786673,1
19823990,7
19843395,4
19853403,197
19861666,1
19873932,1
19915178,1
19927134,1
19935032,1
19935355,5
19943247,28
19948972,1
19990481,3
20075842,2
20080380,3
20081510,26
20082441,1
20094904,1
20105129,1
20146406,3
20177643,2
20218721,15
20235855,1
20319827,5
20345694,11
20347562,3
20357029,1
20358840,11
20384159,1
20390610,1
20395866,9
20397656,1
20454705,34
20486909,1
20492381,7
20504947,1
20527666,461
20536887,1
20539404,14
20545580,2
20549102,1
20560747,13
20563946,12
20636711,1
20641346,14
20673970,3
20676535,1
20696894,1
20716787,1
20723860,28
20754538,6
20759733,43
20766148,6
20796546,49
20806008,12
20836433,1
20861664,89
20889656,116
20895140,1
20908159,1
20964418,5
20985519,1
20989110,21
20993734,3
21016627,1
21029311,15
21033493,1
21034640,5
21049953,9
21056839,6
21059063,177
21079511,1
21080519,2
21086113,1
21090422,1
21093334,2
21102577,1
21140594,1
21155637,45
21210880,1
21234109,14
21242740,1
21254965,2
21281902,1
21282471,57
21288077,23
21296316,9
21313998,80
21314404,1
21333013,1
21395629,1
21405869,10
21416438,1
21420493,1
21436072,1
21445478,2
21450506,2
21455398,8
21474665,39
21477698,7
21506259,175
21513662,2
21531051,1
21537332,1
21538406,3
21540539,1
21547449,1
21552456,32
21559146,2
21561444,1
21572215,1
21573647,2
21629223,2
21629443,4
21639425,21
21640753,2
21644697,11
21662001,1
21666946,20
21675444,1
21701350,1
21705190,1
21710364,1
21711775,2
21742958,7
21780657,4
21786124,290
21830268,1
21837568,1
21842077,1
21845833,1
21858316,4
21866328,3
21872798,58
21879024,296
21901843,3
21915920,3
21928141,15
21937292,1
21981441,2
21987176,2
21993277,1
22008018,2
22015047,1
22027091,5
22031304,11
22042923,148
22047911,7
22048524,2
22057420,312
22065053,10
22097263,4
22117232,24
22122164,4
22157369,1
22205115,62
22219372,6
22252893,1
22271009,3
22272499,106
22276547,4
22315685,1
22322804,3
22347502,1
22355356,1
22408377,1
22437102,1
22504948,11
22536825,46
22538959,3
22555209,6
22650718,2
22659309,197
22661724,142
22672320,6
22697037,1
22720066,1
22748374,2
22774719,4
22795681,1
22810636,1
22863746,9
22935666,23
22938471,1
22943265,1536
22957003,1
23036537,1
23050138,1
23050630,6
23060728,154
23079188,12
23088022,5
23090997,19
23091355,6
23115088,1
23125040,3
23133551,2
23140700,1
23165271,130
23173168,230
23203657,3
23209525,33
23218774,86
23220679,21
23234444,13
23271904,10
23293975,3
23313301,6
23334007,15
23341583,4
23370724,3
23381790,2
23383238,1
23416980,13
23442932,1
23446564,3
23455084,2
23480208,2
23488910,1
23499171,9
23502191,1
23527032,1
23538372,1
23544290,2
23546123,361
23551546,4
23584017,1
23586919,187
23590272,537
23590693,7
23603534,1
23628468,19
23636118,1
23643597,1
23647237,2
23648351,3
23657240,79
23661457,2
23663978,3
23683411,6
23687647,91
23688134,1
23735625,3
23756721,1
23765729,6
23777148,1
23796838,1
23812508,8
23812698,3
23820061,4
23828083,19
23838838,1
23844616,17
23869354,1
23881573,111
23894003,1
23897697,1
23905120,1
23906970,2
23913590,3
23923629,1
23924231,10
23925103,1
23942321,1
23945738,2
23971708,1
23986060,8
24019931,13
24022964,5
24036266,1
24061593,1
24070901,1
24071831,3
24093290,4
24106091,1
24118073,9
24126945,1
24134016,47
24160763,2
24185963,36
24201186,1
24214640,5
24221303,1
24227640,1
24239060,1
24249513,17
24260173,1
24276320,3
24286145,1
24296992,28
24314622,149
24320209,74
24329322,1
24330906,25
24335539,1
24349509,3
24368410,7
24373320,3
24400226,196
24405004,7
24434378,58
24501585,1
24511894,1
24537181,9
24541669,1
24556520,12
24561331,10
24595540,8
24652765,1
24659559,154
24688861,1
24700230,2
24735393,2
24812174,4
24842511,41
24847138,5
24859384,1
24866640,1
24878568,3
24888569,20
24895459,4
24921529,114
24926971,14
24936629,1
24952334,5
24967038,17
24996019,10
24997039,1
25003534,16
25031458,70
25046838,1
25051991,12
25056661,1
25079738,1
25088173,25
25091134,1
25097053,1
25104798,7
25107412,1
25107814,8
25141549,3
25151619,4
25155340,1
25168468,1
25171505,1
25192410,7
25197442,1
25200165,738
25222896,4
25226505,15
25235231,9
25242517,4
25247613,14
25261324,4
25282858,2
25285062,2
25310043,13
25319647,2
25326415,48
25365229,1
25388576,4
25451472,1
25455515,6
25457000,1
25482594,1
25519292,3
25531536,3
25535573,2
25563407,2
25566819,1
25579762,1
25609129,2
25668961,1
25674268,3
25735073,1
25741399,5
25761329,1
25774834,2
25786241,2
25809672,1
25830128,1
25853167,1
25854771,9
25866737,2
25880669,3
25905723,3
25929762,179
25944719,51
25946224,2
25947042,5
25957690,1
25960308,48
25983901,1
25988722,8
26017860,1
26022342,1
26030696,45
26041314,1219
26062241,7
26154839,10
26157384,1
26193519,1
26206272,1
26216097,49
26238038,1
26243715,6
26261916,4
26294408,1
26299477,2
26308574,3
26324229,3
26332668,1
26357442,1
26359543,3
26360674,1
26376116,1
26408611,4
26413665,1
26422549,14
26425399,1
26437836,5
26438943,1
26491175,1
26491327,1
26498169,1
26505779,1
26520929,65
26527758,2
26576781,2
26589880,29
26609729,1
26623744,2
26624543,3
26626127,14
26630301,7
26636647,1
26646080,1
26650993,133
26673855,17
26679495,1
26684542,1
26721951,1
26724104,16
26742585,2
26751969,84
26756387,9
26760064,3
26761489,31
26769129,1
26797502,383
26820601,2
26833669,2
26849881,127
26854092,9
26861753,1
26867703,30
26886655,14
26889069,6
26937206,1
26953275,1
26986724,3
26991415,4
26996337,2
27019379,3
27023324,8
27040783,1
27054186,9
27057556,1
27075615,1
27088621,4
27095086,6
27103625,165
27131103,2
27137532,1
27138779,1
27150601,5
27181942,1
27185417,3
27187638,1
27194857,1
27216547,2
27247307,1
27258308,93
27269479,2
27271930,29
27286890,1
27307377,5
27329176,474
27330909,1
27331111,14
27333683,2
27374823,4
27375205,1
27380390,1
27385064,1
27398079,4
27398439,4
27413125,2
27421431,1
27433372,1
27441923,7
27471970,1
27483489,1
27492535,9
27512242,9
27535618,1
27535677,2
27552285,18
27566866,4
27574015,7
27622112,3
27654744,12
27685094,5
27686801,1
27703039,1
27707908,18
27722356,1
27727416,2
27753845,5
27758442,75
27766865,12
27770015,8
27772342,1
27776734,1
27787197,2
27814117,1
27873571,1
27912974,1
27916386,8
27934661,1
27946783,1
27956477,132
27965227,23
27977358,4
28012817,41
28017762,1
28072855,2
28074831,56
28112674,1
28113801,4
28120866,1
28122963,1
28124073,236
28134503,33
28151798,1
28169454,2
28200036,6
28204158,1
28212335,1
28216621,1
28231804,5
28245839,12
28256547,1
28266026,1
28307955,2
28308084,1
28358322,1
28360034,336
28377267,119
28377764,6
28393374,2
28395817,7
28436381,4
28474256,19
28474842,3
28475320,2
28535228,1
28540631,3
28542504,2
28544104,1
28556515,1
28575069,1
28585603,1
28588092,1
28589977,3
28608447,59
28614471,2
28616427,1
28667228,1
28676993,6
28681456,1
28684085,1
28692703,1
28707430,8
28715864,1
28725586,1
28751215,589
28764118,1
28777232,2
28807051,108
28807404,1
28818673,18
28823801,96
28873450,34
28882816,1
28888587,2
28888886,1
28894206,22
28894317,263
28922833,1
28934451,1
28942290,1
28951358,1
28982239,1
28989571,3
28997824,26
28998712,3
29007096,4
29025607,1
29027126,18
29031890,1
29045195,11
29047645,2
29071581,4
29078758,12
29096263,4
29102044,1
29107656,55
29120169,4
29128133,28
29128494,3
29158382,9
29165423,1
29166447,1
29174499,8
29178174,1
29178643,1
29223806,1
29237053,2
29278668,16
29291113,1
29311947,36
29337138,3
29345581,4
29349444,1
29352417,1
29358581,1
29363282,3
29369288,4
29372706,2
29387148,1
29410738,1
29425869,1
29435454,2
29440959,3
29470400,299
29490246,6
29504157,1
29528319,6
29533486,1
29535765,12
29536299,1
29612078,5
29625011,53
29628606,79
29643106,1
29649637,1
29676918,19
29682746,2
29692080,1
29692190,1
29696780,1
29710262,1
29724044,4
29730913,1
29740679,1
29742652,1
29750826,156
29764183,1
29790470,1
29795593,1
29797712,3
29802968,749
29814493,22
29815658,1
29815843,1
29817000,733
29835010,9
29847650,2
29914748,1
29915635,1
29924864,1
29926913,23
29959116,2
29968622,17
29969137,1
29970848,2
29978611,9
29982767,55
29994092,12
29995698,1
29996253,1
29996354,1
29998509,3
30001170,2
30002733,58
30007120,46
30125553,56
30145723,1
30148073,8
30162426,1
30167230,29
30167480,1
30182298,1
30196996,1
30206181,2
30231160,1
30245044,1
30247570,1
30266044,58
30275433,4
30284389,2
30303814,17
30306393,17
30309186,15
30319748,7
30333409,3
30348367,1
30351630,1
30354534,3
30392891,1
30397864,60
30425985,1
30459758,128
30479688,1
30507378,1
30514614,1
30521119,9
30524634,63
30529030,1
30569987,5
30574163,3
30575374,1
30583674,7
30592249,1
30595416,3
30598189,3
30609609,109
30621592,1
30626818,1
30635973,2
30637356,1
30651936,2
30676023,3
30693451,1
30760295,44
30760887,1
30766015,1
30779548,1
30783585,2
30787577,21
30791011,1
30802895,10
30804239,3
30807546,9
30830441,1
30873391,16
30878418,6
30881238,1
30892089,2
30914433,2
30921775,1
30931468,1
31035390,1
31061091,3
31076808,34
31079459,2
31092630,2
31093728,2
31108956,1
31129103,2
31132113,51
31164790,1
31189711,23
31191443,2
31192750,10
31242782,6
31272229,77
31302407,3
31309506,2
31313113,123
31331617,1
31333986,1
31342573,782
31344530,3
31344890,1
31352306,1
31357231,3
31388134,1
31399155,2
31420683,1
31484992,123
31486381,88
31491840,2
31496333,1
31558802,1
31584700,2
31588488,1
31599141,12
31607676,2
31609665,1
31646431,1
31656676,1
31680373,4
31693283,1
31702157,3
31704462,1
31740148,1
31762163,1
31764743,31
