meli_item_id,sold_quantity
MLC958959252,451
MLC950577251,423
MLC968729859,387
MLC935443827,681
MLC973297144,283
MLC971710203,304
MLC923949396,1270
MLC565015410,971
MLC961598411,441
MLC953502369,460
MLC953943765,435
MLC532090333,1317
MLC521934133,709
MLC634066421,286
MLC607306989,313
MLC614654038,407
MLC611219777,424
MLC926446578,327
MLC929092309,295
MLC624401049,314
MLC933990990,280
MLC922639141,719
MLC590174659,372
MLC920135362,348
MLC923949441,276
MLC611219804,378
MLC922996560,518
MLC937096833,324
MLC939809581,356
MLC606488344,317
MLC940342844,295
MLC923955986,546
MLC949250474,338
MLC565546609,499
MLC611219773,428
MLC594380429,302
MLC565548782,509
MLC549191832,927
MLC607355724,314
MLC529653967,371
MLC433493016,318
MLC599199267,809
MLC624472671,262
MLC502751213,285
MLC436449169,287
MLC617844234,259
MLC614485234,625
MLC542430710,333
MLC615870781,440
MLC581828607,436
MLC578749612,965
MLC948797776,281
MLC573195884,332
MLC524336673,356
MLC533295067,264
MLC554729209,472
MLC575904744,376
MLC451215737,292
MLC435621026,439
MLC528863175,382
MLC561804687,362
MLC548609351,279
MLC577695256,449
MLC554405421,401
MLC478419484,662
MLC972974746,298
MLC491220469,619
MLC575352097,714
MLC478419925,444
MLC550356008,268
MLC538513378,378
MLC568255534,656
MLC453342295,266
MLC588201290,298
MLC456278177,628
MLC478459286,762
MLC455764031,521
MLC514696605,388
MLC593059439,305
MLC529449541,251
MLC507921686,1013
MLC600330202,924
MLC591959123,363
MLC639478308,344
MLC493753522,257
MLC541452855,251
MLC610064128,275
MLC542046533,326
MLC477184378,548
MLC447845179,430
MLC617479125,337
MLC538876013,270
MLC440163373,269
MLC501916322,428
MLC471547166,303
MLC445316138,504
MLC440804701,374
MLC480437526,283
MLC913509847,620
MLC995130197,336
MLC996419777,2556
MLC911117679,732
MLC553180127,627
MLC513218875,947
MLC479132850,259
MLC925261035,690
MLC551645386,6749
MLC993396782,279
MLC940624292,552
MLC979439463,447
MLC635354393,480
MLC587289509,322
MLC542274646,2267
MLC626282879,275
MLC530737954,619
MLC546361605,402
MLC579588044,529
MLC538081155,11278
MLC618221586,513
MLC532120606,310
MLC498880800,564
MLC439437617,2181
MLC956944357,306
MLC555031408,55892
MLC925031846,1067
MLC563493990,17585
MLC955570646,1474
MLC519172904,11982
MLC602806238,3969
MLC542310348,10244
MLC566783565,4428
MLC939015941,1287
MLC987966860,769
MLC612066874,507
MLC621762941,903
MLC932504162,530
MLC519172483,3851
MLC580677966,3214
MLC572219211,1401
MLC979415128,936
MLC577705838,2616
MLC969357333,949
MLC986799275,459
MLC976011497,343
MLC979369299,363
MLC541284707,615
MLC624386818,982
MLC637659365,1362
MLC624269895,602
MLC640487901,2361
MLC969325413,290
MLC624004694,358
MLC572960745,375
MLC580708016,1120
MLC501365250,53307
MLC994810360,261
MLC1004854729,267
MLC439437608,10491
MLC539328044,346
MLC950556827,354
MLC591918789,381
MLC597392189,299
MLC572959234,1564
MLC543958839,277
MLC539335783,423
MLC534099654,1334
MLC964143337,314
MLC988664518,305
MLC513288249,419
MLC975458664,420
MLC608653104,844
MLC615069466,260
MLC546012162,440
MLC934512227,595
MLC513286524,607
MLC565282544,3535
MLC515312013,313
MLC591923389,420
MLC971705686,939
MLC482022614,19042
MLC997940281,382
MLC983509143,466
MLC519948924,1734
MLC634385880,476
MLC548621695,2742
MLC570511817,504
MLC538899754,1167
MLC994810659,628
MLC914889974,1626
MLC482012364,3983
MLC542257493,1309
MLC966996381,499
MLC542871180,1370
MLC917919406,798
MLC926880950,261
MLC524510339,579
MLC620590537,346
MLC582059605,977
MLC972974805,4248
MLC600003214,330
MLC575659208,1267
MLC538507538,314
MLC531442791,417
MLC580363063,818
MLC550374663,652
MLC582186826,1048
MLC615054395,308
MLC528631930,356
MLC978225796,307
MLC575658754,1465
MLC907333504,355
MLC548620984,6321
MLC554452761,296
MLC579760015,531
MLC587968868,1636
MLC603339138,1848
MLC912491306,395
MLC528631926,394
MLC549768940,1912
MLC933141893,270
MLC974059894,974
MLC602805857,1603
MLC635354097,306
MLC542406590,2513
MLC572588709,4853
MLC498815090,8434
MLC622501559,767
MLC542313431,3611
MLC639754215,268
MLC598789063,431
MLC617538929,477
MLC997959811,425
